collection_id,tenant_id,prediction_time,pred_mem_mb,pred_cpu_p95
47977,j6RaIcPIrs5ic5o0GdUXyGd5pnApZJgOANPCcjBjS/c=,1970-01-01 00:35:24.000,0.00068703666,0.0005691745318472
47977,j6RaIcPIrs5ic5o0GdUXyGd5pnApZJgOANPCcjBjS/c=,1970-01-01 00:36:33.300,0.0011235327,0.000713559333235
47977,j6RaIcPIrs5ic5o0GdUXyGd5pnApZJgOANPCcjBjS/c=,1970-01-01 00:39:38.700,0.0008020047,0.0005655367858707
47977,j6RaIcPIrs5ic5o0GdUXyGd5pnApZJgOANPCcjBjS/c=,1970-01-01 00:39:39.000,0.0008167792,0.0005611381493508
47977,j6RaIcPIrs5ic5o0GdUXyGd5pnApZJgOANPCcjBjS/c=,1970-01-01 00:39:53.100,0.00071890093,0.0005072732456028
47977,j6RaIcPIrs5ic5o0GdUXyGd5pnApZJgOANPCcjBjS/c=,1970-01-01 00:44:38.700,0.0027342215,0.0019161300733685
19793785116,j6RaIcPIrs5ic5o0GdUXyGd5pnApZJgOANPCcjBjS/c=,1970-01-01 00:03:41.700,0.0026851147,0.0007058805786073
19793785116,j6RaIcPIrs5ic5o0GdUXyGd5pnApZJgOANPCcjBjS/c=,1970-01-01 00:13:46.500,0.0028494745,0.0006719958037137
19793785116,j6RaIcPIrs5ic5o0GdUXyGd5pnApZJgOANPCcjBjS/c=,1970-01-01 00:23:49.500,0.0026884023,0.0006467788480222
19793785116,j6RaIcPIrs5ic5o0GdUXyGd5pnApZJgOANPCcjBjS/c=,1970-01-01 00:31:52.800,0.0028175134,0.0007872022688388
19793785116,j6RaIcPIrs5ic5o0GdUXyGd5pnApZJgOANPCcjBjS/c=,1970-01-01 00:34:37.200,0.0026463754,0.0006491201929748
19793785116,j6RaIcPIrs5ic5o0GdUXyGd5pnApZJgOANPCcjBjS/c=,1970-01-01 00:35:35.700,0.0025401395,0.000566819217056
19793785116,j6RaIcPIrs5ic5o0GdUXyGd5pnApZJgOANPCcjBjS/c=,1970-01-01 00:39:39.000,0.0027626362,0.0005605639889836
