n_tenants,n_nodes,iterations,satisfaction,nodes_used,elapsed_s
8,8,1,1.0,8,0.018937
8,16,1,1.0,16,0.000263
8,32,1,1.0,32,0.000306
8,64,1,1.0,64,0.000425
16,8,2,1.0,8,0.000359
16,16,2,1.0,16,0.000426
16,32,2,1.0,32,0.000526
16,64,2,1.0,64,0.000741
32,8,4,1.0,8,0.000676
32,16,4,1.0,16,0.000784
32,32,4,1.0,32,0.000995
32,64,4,1.0,64,0.001413
64,8,11,1.0,14,0.001809
64,16,8,1.0,16,0.002526
64,32,8,1.0,32,0.003838
64,64,8,1.0,64,0.005664
